Peter Christen Asbjørnsen;Asbjørnsen, Peter Christen;Juletræet for 1851 : norske Æventyr og Folke-Sagn;1851;https://urn.nb.no/URN:NBN:no-nb_digibok_2015030528005
Peter Christen Asbjørnsen;Asbjørnsen, Peter Christen;Norske Folke-Eventyr;1871;https://urn.nb.no/URN:NBN:no-nb_digibok_2015061929001
Henrik Anker Bjerregaard;Bjerregaard, Henrik Anker;Den kronede norske Nationalsang;1820;https://urn.nb.no/URN:NBN:no-nb_digibok_2014012027005
Henrik Anker Bjerregaard;Bjerregaard, Henrik Anker;Norsk National-Ouverture : efter Melodien til den kronede Nationalsang : med Chor af Sopran, Alt, Tenor og Bass, udsat til 4re Hænder for Piano Forte;1822;https://urn.nb.no/URN:NBN:no-nb_digibok_2013121126001
Henrik Anker Bjerregaard;Bjerregaard, Henrik Anker;"Udvalgte Sange af ""Geheime Overfinantzraaden"" : comp. og udsatte for Piano Forte";1825;https://urn.nb.no/URN:NBN:no-nb_digibok_2013112528001
Camilla Collett;Collett, Camilla;Den 2 April 1860;1860;https://urn.nb.no/URN:NBN:no-nb_digibok_2012061113002
Elias Blix Elias Blix;Elias Blix;Nokre salmar;1891;https://urn.nb.no/URN:NBN:no-nb_digibok_2009010703004
Maurits Hansen;Hansen, Maurits;Digtninger : samlede 1825. D. 2;1825;https://urn.nb.no/URN:NBN:no-nb_digibok_2007082703001
Maurits Hansen;Hansen, Maurits;Practisk Veiledning i Modersmaalet;1831;https://urn.nb.no/URN:NBN:no-nb_digibok_2017051248083
Maurits Hansen;Hansen, Maurits;Norsk Grammatik;1833;https://urn.nb.no/URN:NBN:no-nb_digibok_2014052208060
Engebret Hougen;Hougen, Engebret;Engebret Hougens Eftermæle;1852 - 1853;https://urn.nb.no/URN:NBN:no-nb_digibok_2010042306017
Magnus Brostrup Landstad;Landstad, Magnus Brostrup;"""Himmerikets blomster gror""";1852 - 1853;https://urn.nb.no/URN:NBN:no-nb_digibok_2014010905010
Maurits Hansen Maurits Hansen;Maurits Hansen;Othar af Bretagne : et Riddereventyr;1819;https://urn.nb.no/URN:NBN:no-nb_digibok_2017030648054
Jørgen Moe;Moe, Jørgen;Norske Folkeeventyr. D. 1;1843;https://urn.nb.no/URN:NBN:no-nb_digibok_2012032224001
Jørgen Moe;Moe, Jørgen;Digte;1850;https://urn.nb.no/URN:NBN:no-nb_digibok_2017020148100
Jørgen Moe;Moe, Jørgen;Digte;1850;https://urn.nb.no/URN:NBN:no-nb_digibok_2017020148100
Jørgen Moe;Moe, Jørgen;Digte;1850;https://urn.nb.no/URN:NBN:no-nb_digibok_2017020148100
Jørgen Moe;Moe, Jørgen;Digte;1850;https://urn.nb.no/URN:NBN:no-nb_digibok_2017020148100
Jørgen Moe;Moe, Jørgen;En liden Julegave : Gammelt og Nyt;1859;https://urn.nb.no/URN:NBN:no-nb_digibok_2009101303010
Jørgen Moe;Moe, Jørgen;En liden Julegave : Gammelt og Nyt;1859;https://urn.nb.no/URN:NBN:no-nb_digibok_2009101303010
Andreas Munch;Munch, Andreas;De nyeste Tiders Historie;1842;https://urn.nb.no/URN:NBN:no-nb_digibok_2009110312001
Andreas Munch;Munch, Andreas;Den Eensomme : en Sjælehistorie;1846;https://urn.nb.no/URN:NBN:no-nb_digibok_2019020548006
Andreas Munch;Munch, Andreas;Sammenlignende fremstilling af det danske, svenske og tydske sprogs formlære;1848;https://urn.nb.no/URN:NBN:no-nb_digibok_2010020103020
